[('amplitude', 'NN')] 
[('may', 'MD')] 
[('also', 'RB')] 
[('revea', 'NN')] 
[('l', 'NN')] 
[('useful', 'JJ')] 
[('information', 'NN')] 
[('providing', 'VBG')] 
[('quantitative', 'NN')] 
[('analysis', 'NN')] 
[('long', 'RB')] 
[('bone', 'NN')] 
[('fracture', 'NN')] 
[('healingusing', 'VBG')] 
[('axial', 'JJ')] 
[('transmission', 'NN')] 
[('technique', 'NN')] 
[('subject', 'NN')] 
[('ofinvestigation', 'NN')] 
[('current', 'JJ')] 
[('study', 'NN')] 
[('', 'NN')] 
[('study', 'NN')] 
[('', 'NN')] 
[('sawbones®', 'NN')] 
[('plates', 'NNS')] 
[('', 'NN')] 
[('sawbones', 'NNS')] 
[('europe', 'NN')] 
[('', 'NN')] 
[('kross', 'NN')] 
[('verksgatan', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('malmo', 'NN')] 
[('', 'NN')] 
[('sweden', 'NN')] 
[('', 'NN')] 
[('bovine', 'NN')] 
[('femora', 'NNS')] 
[('cut', 'NN')] 
[('toproduce', 'NN')] 
[('transverse', 'NN')] 
[('fracture', 'NN')] 
[('immersed', 'VBN')] 
[('distilled', 'VBN')] 
[('water', 'NN')] 
[('simulate', 'NN')] 
[('conditions', 'NNS')] 
[('initial', 'JJ')] 
[('inflammatory', 'NN')] 
[('stage', 'NN')] 
[('fracture', 'NN')] 
[('healing', 'VBG')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('addition', 'NN')] 
[('', 'NN')] 
[('numerical', 'JJ')] 
[('simulations', 'NNS')] 
[('performed', 'VBN')] 
[('help', 'NN')] 
[('understand', 'NN')] 
[('wave', 'NN')] 
[('interaction', 'NN')] 
[('afracture', 'NN')] 
[('', 'NN')] 
[('material', 'NN')] 
[('density', 'NN')] 
[('acoustic', 'JJ')] 
[('properties', 'NNS')] 
[('closerto', 'NN')] 
[('human', 'NN')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('', 'NN')] 
[('sawbones®', 'NN')] 
[('substitute', 'NN')] 
[('represents', 'VBZ')] 
[('abetter', 'NN')] 
[('bone', 'NN')] 
[('mimic', 'NN')] 
